Logfile,SCF_Electronic_Energy_Hartree,Gibbs_Free_Energy_Hartree,Imaginary_Frequencies,HOMO (Hartree),LUMO (Hartree),theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,theta15,theta16,theta17,theta18
Keto-1.log,-1262.910365,-1262.595368,0,-0.233,-0.092,1.082,173.749,176.445,165.215,160.705,30.349,30.334,160.711,165.222,176.451,174.064,24.723,147.944,147.959,17.532,176.451,1.083,173.74
Keto-2.log,-1262.902464,-1262.592683,0,-0.225,-0.083,0.048,179.817,176.494,177.677,4.988,75.668,64.184,179.209,179.542,1.627,179.944,16.293,102.573,114.964,1.668,1.627,0.023,179.935
Keto-3.log,-1262.90352,-1262.593207,0,-0.226,-0.085,0.093,179.382,176.897,179.012,178.733,63.03,76.165,6.105,177,7.816,179.671,126.988,116.006,101.759,171.796,7.816,0.211,179.437
Keto-4.log,-1262.903769,-1262.593765,0,-0.226,-0.084,0.114,179.722,176.23,177.494,5.692,76.612,63.251,179.23,179.105,177.695,179.95,137.234,101.418,115.799,1.749,177.695,0.001,179.696
Keto-5.log,-1262.902464,-1262.592678,0,-0.225,-0.083,0.023,179.928,1.645,179.544,179.195,64.19,75.68,5.001,177.673,176.537,179.753,8.309,114.96,102.561,173.225,176.537,0.049,179.811
Keto-6.log,-1262.903926,-1262.592753,0,-0.225,-0.083,0.147,179.636,7.129,177.91,3.655,72.648,72.698,3.432,178.326,176.371,179.71,133.009,106.976,107.038,176.302,176.371,0.153,179.626
Keto-7.log,-1262.90424,-1262.593283,0,-0.226,-0.082,0.074,179.805,176.365,178.319,3.437,72.774,72.777,3.44,178.318,176.365,179.695,133.215,106.945,106.95,176.284,176.365,0.074,179.803
Keto-8.log,-1262.903769,-1262.593763,0,-0.226,-0.084,0.125,179.678,176.21,177.498,5.683,76.605,63.255,179.239,179.103,177.651,179.945,17.3,101.425,115.794,1.742,177.651,0.005,179.665
Keto-9.log,-1262.901431,-1262.593244,0,-0.225,-0.086,0.002,179.676,177.715,179.264,178.733,66.743,73.112,178.638,179.601,2.522,179.994,9,111.71,104.724,3.589,2.522,0.003,179.97
Keto-10.log,-1262.900324,-1262.592283,0,-0.224,-0.085,0.035,179.958,1.719,179.571,179.037,69.705,69.7,179.053,179.569,1.716,179.951,11.715,108.498,108.503,2.797,1.716,0.031,179.935
Keto-11.log,-1262.901924,-1262.591924,0,-0.225,-0.084,0.069,179.891,6.314,177.381,5.248,75.702,64.468,178.648,179.573,2.322,179.977,136.056,102.461,114.686,2.223,2.322,0.024,179.852
Keto-12.log,-1262.900324,-1262.59228,0,-0.224,-0.085,0.035,179.962,1.73,179.568,179.048,69.702,69.702,179.048,179.568,1.73,179.952,132.817,108.501,108.502,2.801,1.73,0.035,179.962
Keto-13.log,-1262.902797,-1262.594358,0,-0.227,-0.087,0.085,179.42,176.707,179.018,178.689,68.901,68.97,178.614,179.058,176.778,179.888,132.268,109.036,109.014,3.462,176.778,0.077,179.429
Keto-14.log,-1262.902469,-1262.590391,0,-0.227,-0.091,1.865,179.836,177.01,174.381,14.196,88.333,66.534,172.278,176.848,177.711,179.594,150.875,87.943,112.684,6.914,177.711,0.72,176.583
Keto-15.log,-1262.901431,-1262.593241,0,-0.225,-0.086,0,179.688,177.718,179.266,178.718,66.787,73.065,178.641,179.602,2.456,179.99,129.869,111.664,104.774,3.583,2.456,0.003,179.978
Keto-16.log,-1262.901431,-1262.593242,0,-0.225,-0.086,0.002,179.679,177.698,179.259,178.747,66.737,73.068,178.642,179.601,2.475,179.991,8.991,111.718,104.771,3.582,2.475,0.005,179.982
