Logfile,SCF_Electronic_Energy_Hartree,Gibbs_Free_Energy_Hartree,Imaginary_Frequencies,HOMO_Hartree,LUMO_Hartree,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,theta15,theta16,theta17,theta18
Keto-1.log,-1262.930821,-1262.61505,0,-0.22898,-0.09232,0.747,173.142,178.823,165.513,158.901,28.781,29.041,158.977,165.514,178.775,174.148,86.742,150.366,150.106,20.135,178.775,0.748,173.144
Keto-2.log,-1262.927972,-1262.616219,0,-0.22885,-0.09429,0.163,178.158,176.468,174.219,13.02,91.19,71.948,169.32,175.043,175.206,179.605,33.668,84.274,105.677,8.214,175.206,0.292,179.31
Keto-3.log,-1262.927756,-1262.61544,0,-0.22931,-0.09285,0.25,179.481,172.705,173.82,156.426,91.65,58.782,169.485,173.923,171.528,179.992,34.56,84.541,119.277,8.507,171.528,0.038,178.392
Keto-4.log,-1262.924973,-1262.616141,0,-0.22999,-0.09378,0.031,179.787,179.526,179.418,178.023,61.355,73.283,0.392,178.395,179.713,179.932,124.191,118.147,104.993,177.869,179.713,0.05,179.697
Keto-5.log,-1262.924972,-1262.616121,0,-0.22999,-0.09378,0.055,179.651,179.73,178.387,0.418,73.297,61.36,178.023,179.41,179.567,179.813,13.878,104.98,118.14,1.46,179.567,0.025,179.798
Keto-6.log,-1262.924973,-1262.616118,0,-0.22999,-0.09378,0.034,179.781,179.541,179.403,177.988,61.36,73.29,0.411,178.387,179.701,179.93,5.199,118.14,104.986,177.85,179.701,0.072,179.592
Keto-7.log,-1262.924762,-1262.615427,0,-0.22953,-0.09265,0.065,179.599,179.547,179.095,0.885,72.366,72.277,0.723,179.007,0.039,179.926,14.842,107.079,107.17,179.835,0.039,0.108,179.796
Keto-8.log,-1262.924192,-1262.616011,0,-0.22927,-0.09393,0.023,179.903,1.534,178.379,1.001,73.818,62.512,178.337,179.616,179.201,179.805,14.314,104.524,116.982,1.14,179.201,0.03,179.894
Keto-9.log,-1262.924086,-1262.61543,0,-0.229,-0.09392,0.07,179.883,179.146,178.452,0.897,74.153,63.045,179.299,179.949,0.236,179.995,134.122,104.199,116.531,0.263,0.236,0.089,179.627
Keto-10.log,-1262.923999,-1262.617023,0,-0.22968,-0.09645,0.057,179.807,179.365,179.594,179.123,67.181,66.82,178.937,179.538,179.217,179.975,129.237,111.497,111.872,0.287,179.217,0.021,179.75
Keto-11.log,-1262.923999,-1262.617011,0,-0.22968,-0.09645,0.019,179.756,179.223,179.536,178.933,66.802,67.192,179.128,179.594,179.355,179.99,8.367,111.89,111.486,0.492,179.355,0.055,179.807
Keto-12.log,-1262.923103,-1262.618344,0,-0.22889,-0.09634,0.099,179.662,179.922,179.699,179.356,67.874,69.074,179.394,179.793,0.916,179.976,9.434,110.835,109.537,0.829,0.916,0.053,179.817
Keto-13.log,-1262.923104,-1262.613427,0,-0.22888,-0.09636,0.048,179.822,0.765,179.748,179.194,68.97,67.552,179.258,179.634,179.674,179.953,10.457,109.626,111.16,0.588,179.674,0.076,179.712
Keto-14.log,-1262.923104,-1262.613409,0,-0.22887,-0.09637,0.046,179.826,0.71,179.737,179.156,68.948,67.439,179.267,179.622,179.626,179.955,131.099,109.642,111.28,0.589,179.626,0.075,179.72
