Logfile,SCF_Electronic_Energy_Hartree,Gibbs_Free_Energy_Hartree,Imaginary_Frequencies,HOMO_Hartree,LUMO_Hartree,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,theta15,theta16,theta17,theta18
Enol-1.log,-1262.932611,-1262.621787,0,-0.21847,-0.0995,0.001,179.992,179.972,179.995,179.998,179.999,179.997,179.997,180.000,179.958,179.996,0.004,0.003,0.000,0.006,179.958,0.003,179.987
Enol-2.log,-1262.931833,-1262.622468,0,-0.21798,-0.09956,0.001,179.982,1.811,179.991,179.417,179.871,179.795,179.830,179.926,179.478,179.944,0.008,0.066,0.157,0.218,179.478,0.032,179.732
Enol-3.log,-1262.931832,-1262.621963,0,-0.21818,-0.09957,0.032,179.721,179.429,179.944,179.783,179.892,179.910,179.286,179.999,1.870,179.954,0.057,0.084,0.024,0.647,1.870,0.004,179.990
Enol-4.log,-1262.931006,-1262.622222,0,-0.21776,-0.09976,0.004,179.981,0.031,179.999,179.995,179.999,179.992,179.975,179.996,0.053,179.999,0.007,0.000,0.007,0.026,0.053,0.006,179.969
Enol-5.log,-1262.929462,-1262.619993,0,-0.21796,-0.096,0.057,179.630,1.421,179.982,179.571,179.993,179.756,2.563,179.852,178.519,179.828,0.143,0.002,0.366,177.556,178.519,0.003,179.786
Enol-6.log,-1262.92871,-1262.620757,0,-0.21768,-0.0961,0.005,179.986,0.032,179.988,179.988,179.980,179.985,0.049,180.000,0.044,179.997,0.008,0.015,0.009,179.956,0.044,0.009,179.945
Enol-7.log,-1262.928258,-1262.618923,0,-0.21809,-0.09809,0.010,179.710,2.247,179.674,3.310,179.979,179.993,179.861,179.949,179.891,179.987,0.206,0.288,0.077,0.209,179.891,0.028,179.982
Enol-8.log,-1262.928231,-1262.618428,0,-0.21824,-0.09804,0.046,179.864,177.792,179.793,3.864,179.908,179.925,179.476,179.996,1.465,179.994,0.267,0.376,0.106,0.554,1.465,0.042,179.787
Enol-9.log,-1262.927736,-1262.61522,0,-0.21801,-0.09964,0.002,179.943,2.068,179.946,179.373,179.934,179.831,179.543,179.919,179.193,179.945,0.025,0.017,0.141,0.486,179.193,179.644,179.921
Enol-10.log,-1262.927458,-1262.619318,0,-0.21774,-0.0982,0.003,179.864,0.539,179.901,0.796,179.951,179.931,179.951,179.947,0.084,179.963,0.043,0.033,0.028,0.008,0.084,0.020,179.989
Enol-11.log,-1262.926948,-1262.616851,0,-0.21776,-0.09986,0.001,179.994,0.063,179.995,180.000,179.989,179.970,179.974,179.999,0.045,179.998,0.011,0.016,0.019,0.023,0.045,179.997,179.996
Enol-12.log,-1262.926148,-1262.615955,0,-0.21853,-0.09598,0.000,179.989,179.954,179.998,179.990,179.995,179.995,0.003,179.998,179.982,179.998,0.002,0.003,0.004,179.997,179.982,179.993,179.998
