Logfile,SCF_Electronic_Energy_Hartree,Gibbs_Free_Energy_Hartree,Imaginary_Frequencies,HOMO_Hartree,LUMO_Hartree,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,theta15,theta16,theta17,theta18
Keto-1.log,-1262.917535,-1262.603235,0,-0.2311,-0.09195,1.081,173.372,177.18,165.26,160.186,29.885,29.938,160.221,165.258,177.183,174.137,25.466,148.678,148.626,18.294,177.183,1.084,173.353
Keto-2.log,-1262.911888,-1262.601118,0,-0.22729,-0.08547,0.001,179.742,177.407,178.621,1.714,71.687,71.808,1.818,178.523,177.847,179.74,13.915,108.033,107.953,177.941,177.847,0.148,179.902
Keto-3.log,-1262.911874,-1262.601416,0,-0.22735,-0.08553,0.106,179.504,177.975,178.63,1.622,71.714,71.732,1.622,178.624,177.914,179.785,13.938,107.997,107.973,178.081,177.914,0.098,179.521
Keto-4.log,-1262.911463,-1262.60163,0,-0.2271,-0.08726,0.02,179.798,178.41,179.198,179.938,62.354,75.738,4.215,177.89,177.119,179.827,6.444,116.954,102.487,173.994,177.119,0.116,179.854
Keto-5.log,-1262.911044,-1262.601303,0,-0.22655,-0.0877,0.206,179.453,5.997,177.473,4.447,75.051,62.065,179.381,179.272,177.679,179.884,15.638,103.107,117.277,1.298,177.679,0.043,179.767
Keto-6.log,-1262.910543,-1262.601961,0,-0.22716,-0.09028,0.127,179.385,177.53,179.194,179.227,68.151,68.108,179.226,179.193,177.526,179.959,130.99,110.091,110.143,2.576,177.526,0.121,179.453
Keto-7.log,-1262.910543,-1262.601972,0,-0.22716,-0.09028,0.119,179.419,177.541,179.204,179.227,68.163,68.155,179.241,179.186,177.514,179.96,10.131,110.087,110.088,2.57,177.514,0.121,179.463
Keto-8.log,-1262.910536,-1262.601943,0,-0.22717,-0.09028,0.088,179.44,177.768,179.153,178.967,68.34,68.12,179.594,179.262,177.539,179.827,131.276,109.829,110.198,2.14,177.539,0.218,179.213
Keto-9.log,-1262.909295,-1262.60125,0,-0.22639,-0.08957,0.06,179.671,1.386,179.627,179.647,72.296,66.07,179.208,179.33,178.111,179.992,135.092,105.778,112.625,2.138,178.111,0.017,179.679
Keto-10.log,-1262.909295,-1262.601249,0,-0.22639,-0.08957,0.064,179.65,1.397,179.625,179.654,72.281,66.086,179.211,179.33,178.092,179.988,13.953,105.795,112.606,2.138,178.092,0.018,179.666
