Logfile,SCF_Electronic_Energy_Hartree,Gibbs_Free_Energy_Hartree,Imaginary_Frequencies,HOMO_Hartree,LUMO_Hartree,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,theta15,theta16,theta17,theta18
Keto-1.log,-1262.926413,-1262.614027,0,-0.22941,-0.0924,0.125,178.422,171.732,174.128,169.94,58.181,91.375,156.387,173.711,172.946,178.148,119.162,120.081,84.861,19.7,172.946,0.491,179.721
Keto-2.log,-1262.924025,-1262.61506,0,-0.22975,-0.09329,0.025,179.817,179.615,179.415,178.138,61.363,73.46,0.742,178.358,179.47,179.911,5.208,118.143,104.831,177.535,179.47,0.095,179.622
Keto-3.log,-1262.924025,-1262.615055,0,-0.22976,-0.09329,0.099,179.589,179.47,178.366,0.734,73.455,61.368,178.138,179.414,179.633,179.828,133.474,104.838,118.139,1.352,179.633,0.021,179.833
Keto-4.log,-1262.923272,-1262.614952,0,-0.22902,-0.09344,0.031,179.67,1.995,178.312,1.37,73.879,62.351,178.556,179.614,179.394,179.831,14.352,104.488,117.166,0.945,179.394,0.004,179.936
Keto-5.log,-1262.923272,-1262.614957,0,-0.22902,-0.09344,0.009,179.917,179.424,179.615,178.573,62.361,73.884,1.381,178.311,1.976,179.927,6.202,117.153,104.488,176.977,1.976,0.02,179.735
Keto-6.log,-1262.923123,-1262.614356,0,-0.22873,-0.09338,0.08,179.839,179.114,178.426,1.024,74.078,62.831,179.275,179.905,0.281,179.998,14.549,104.282,116.75,0.292,0.281,0.101,179.573
Keto-7.log,-1262.923064,-1262.615846,0,-0.22945,-0.09602,0.032,179.725,178.993,179.53,179.124,66.847,67.137,179.266,179.57,179.193,179.978,8.425,111.83,111.529,0.643,179.193,0.051,179.782
Keto-8.log,-1262.923064,-1262.615821,0,-0.22945,-0.09603,0.069,179.727,179.21,179.579,179.305,67.131,66.793,179.186,179.54,179.04,179.977,129.209,111.536,111.894,0.541,179.04,0.04,179.691
Keto-9.log,-1262.924018,-1262.615197,0,-0.22978,-0.09331,0.064,179.833,178.973,178.402,1.11,73.931,62.005,179.166,179.679,179.65,179.958,14.41,104.412,117.575,0.4,179.65,0.027,179.681
Keto-10.log,-1262.922139,-1262.61635,0,-0.22862,-0.09591,0.074,179.77,179.378,179.505,179.207,66.769,68.885,179.049,179.665,0.616,179.939,8.394,111.968,109.663,0.548,0.616,0.036,179.859
Keto-11.log,-1262.922139,-1262.616418,0,-0.22862,-0.09591,0.041,179.894,0.651,179.679,179.086,68.904,66.825,179.26,179.524,179.451,179.952,10.41,109.646,111.915,0.561,179.451,0.087,179.683
Keto-12.log,-1262.922139,-1262.616375,0,-0.22863,-0.0959,0.086,179.709,179.442,179.536,179.269,66.921,68.985,179.155,179.693,0.776,179.955,129.073,111.815,109.569,0.647,0.776,0.043,179.868
Keto-13.log,-1262.922139,-1262.616398,0,-0.22862,-0.09591,0.054,179.876,0.697,179.691,179.138,68.944,66.827,179.259,179.526,179.446,179.954,131.111,109.605,111.917,0.556,179.446,0.085,179.708
