Conformer_ID,Logfile,SCF_Electronic_Energy_Hartree,Gibbs_Free_Energy_Hartree,HOMO_Hartree,LUMO_Hartree,Optimization_Converged,Imaginary_Frequencies,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,theta15,theta16,theta17,theta18
1,Enol-1.log,-1262.931591,-1262.620734,-0.21824,-0.09896,TRUE,0,0.003,179.993,179.976,180,179.992,179.997,179.998,179.996,179.998,179.982,179.998,0.004,0.001,0.008,0.014,179.982,0.001,179.997
2,Enol-2.log,-1262.930873,-1262.620781,-0.21791,-0.099,TRUE,0,0.037,179.666,179.506,179.933,179.793,179.861,179.873,179.216,179.988,2.028,179.949,0.071,0.106,0.033,0.69,2.028,0.009,179.985
3,Enol-3.log,-1262.930867,-1262.621478,-0.21772,-0.09899,TRUE,0,0.001,179.959,2.114,179.988,179.335,179.813,179.737,179.938,179.917,179.546,179.952,0.02,0.097,0.192,0.133,179.546,0.046,179.668
4,Enol-4.log,-1262.930086,-1262.621174,-0.21747,-0.09919,TRUE,0,0.001,179.999,0.048,179.998,179.996,179.998,179.998,179.986,179.999,0.031,179.998,0.001,0.001,0.001,0.013,0.031,0.006,179.968
5,Enol-5.log,-1262.929234,-1262.61931,-0.21824,-0.0954,TRUE,0,0.015,179.665,178.9,179.959,179.679,179.926,179.888,1.638,179.85,178.514,179.823,0.094,0.049,0.186,178.434,178.514,0.006,179.941
6,Enol-6.log,-1262.928512,-1262.618924,-0.21769,-0.09548,TRUE,0,0.049,179.678,1.545,179.966,179.589,179.979,179.777,2.726,179.851,178.348,179.808,0.156,0.017,0.363,177.41,178.348,0.004,179.786
7,Enol-7.log,-1262.928361,-1262.618879,-0.21801,-0.09554,TRUE,0,0.001,179.999,179.986,179.998,179.991,179.995,179.995,0.003,180,0.002,179.999,0.002,0.003,0.004,179.996,0.002,0.004,179.979
8,Enol-8.log,-1262.928039,-1262.618417,-0.21838,-0.09743,TRUE,0,0.002,179.759,177.428,179.753,5.008,179.569,179.518,179.124,179.893,179.288,179.894,0.382,0.705,0.434,0.827,179.288,0.051,179.771
9,Enol-9.log,-1262.92771,-1262.619893,-0.21744,-0.09558,TRUE,0,0.006,179.986,0.036,179.988,179.98,179.976,179.985,0.069,179.997,0.053,179.997,0.012,0.016,0.007,179.94,0.053,0.011,179.929
10,Enol-10.log,-1262.927277,-1262.617275,-0.21797,-0.09751,TRUE,0,0.048,179.855,177.608,179.785,4.028,179.91,179.943,179.524,179.995,1.568,179.975,0.278,0.391,0.101,0.52,1.568,0.037,179.848
11,Enol-11.log,-1262.92719,-1262.617599,-0.2179,-0.09759,TRUE,0,0.043,179.606,2.507,179.689,3.766,179.948,179.977,179.783,179.964,179.739,179.984,0.237,0.335,0.092,0.285,179.739,0.036,179.982
12,Enol-12.log,-1262.926545,-1262.616915,-0.21772,-0.09907,TRUE,0,179.895,179.894,1.614,179.845,179.745,179.938,179.991,179.583,179.992,179.453,179.93,0.01,0.042,0.003,0.405,179.453,0.03,179.701
13,Enol-13.log,-1262.926465,-1262.620187,-0.2175,-0.09768,TRUE,0,0.003,179.942,0.188,179.967,0.257,179.985,179.979,179.99,179.983,0.032,179.988,0.015,0.012,0.008,0.003,0.032,0.008,179.993
14,Enol-14.log,-1262.92581,-1262.616239,-0.21744,-0.0993,TRUE,0,180,179.999,0.032,179.997,179.998,179.997,180,180,179.997,0.056,179.997,0.003,0.003,0,0,0.056,0.003,179.991
