Logfile,SCF_Electronic_Energy_Hartree,Gibbs_Free_Energy_Hartree,Imaginary_Frequencies,HOMO_Hartree,LUMO_Hartree,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,theta15,theta16,theta17,theta18
Keto-1.log,-1262.927741,-1262.615153,0,-0.22999,-0.08857,0.138,179.104,177.221,172.482,157.912,119.015,65.663,2.682,174.248,12.674,178.068,178.495,58.247,111.946,179.725,12.674,0.617,176.548
Keto-2.log,-1262.927565,-1262.615744,0,-0.22889,-0.09423,0.103,178.231,176.438,174.189,12.97,91.144,71.704,169.593,175.186,175.298,179.629,154.719,84.354,106.006,8.03,175.298,0.331,179.154
Keto-3.log,-1262.927325,-1262.614961,0,-0.22935,-0.09269,0.066,178.424,171.607,173.999,169.639,58.566,91.567,156.374,173.789,172.826,178.17,0.319,119.561,84.642,19.681,172.826,0.315,179.53
Keto-4.log,-1262.927325,-1262.614963,0,-0.22935,-0.0927,0.333,179.604,172.838,173.787,156.378,91.577,58.596,169.653,173.994,171.612,179.986,34.499,84.622,119.532,8.411,171.612,0.067,178.379
Keto-5.log,-1262.926209,-1262.61527,0,-0.22813,-0.09259,0.16,178.369,9.549,173.944,155.319,91.642,58.492,168.736,173.625,171.901,179.848,156.078,84.434,119.499,9.185,171.901,0.171,178.89
Keto-6.log,-1262.922798,-1262.617586,0,-0.22879,-0.09623,0.047,179.847,0.634,179.705,179.083,68.896,67.111,179.218,179.566,179.526,179.96,131.051,109.677,111.616,0.532,179.526,0.077,179.707
Keto-7.log,-1262.92369,-1262.616449,0,-0.22966,-0.09626,0.004,179.754,179.264,179.484,177.883,67.809,66.493,178.462,179.352,179.869,179.868,9.398,110.701,112.146,0.134,179.869,0.003,179.918
Keto-8.log,-1262.923,-1262.614856,0,-0.22854,-0.09386,0.14,179.602,1.177,179.58,177.83,62.062,72.991,0.467,178.28,0.557,179.896,5.902,117.409,105.319,177.828,0.557,0.069,179.961
Keto-9.log,-1262.922798,-1262.617609,0,-0.22879,-0.09623,0.048,179.861,0.641,179.704,179.077,68.89,67.098,179.208,179.562,179.536,179.958,131.045,109.682,111.628,0.522,179.536,0.069,179.735
Keto-10.log,-1262.922798,-1262.617575,0,-0.22879,-0.09622,0.05,179.838,0.71,179.723,179.157,68.934,67.221,179.245,179.579,179.538,179.957,10.424,109.645,111.502,0.562,179.538,0.08,179.712
Keto-11.log,-1262.922696,-1262.615577,0,-0.22945,-0.08599,0.004,179.893,178.894,179.858,179.595,75.271,173.167,179.008,179.9,179.914,179.966,15.861,104.311,7.66,0.143,179.914,0.031,179.851
Keto-12.log,-1262.921926,-1262.615271,0,-0.22898,-0.08593,0.049,179.847,0.881,179.981,179.464,174.913,74.475,179.08,179.81,179.07,179.994,115.484,5.848,105.186,1.269,179.07,0.067,179.798
Keto-13.log,-1262.921899,-1262.614771,0,-0.22801,-0.08586,0.008,179.979,0.616,179.783,179.835,75.397,175.58,179.312,179.951,179.518,179.972,16.239,104.119,5.16,0.069,179.518,0.067,179.726
